date,NZDclose
2014-11-07,1.2889
2014-11-08,1.2888
2014-11-09,1.2868
2014-11-10,1.2898
2014-11-11,1.2797
2014-11-12,1.2705
2014-11-13,1.2706
2014-11-14,1.2638
2014-11-15,1.2637
2014-11-16,1.2595
2014-11-17,1.2627
2014-11-18,1.2621
2014-11-19,1.2746
2014-11-20,1.2705
2014-11-21,1.2678
2014-11-22,1.2676
2014-11-23,1.2683
2014-11-24,1.2712
2014-11-25,1.2801
2014-11-26,1.2687
2014-11-27,1.272
2014-11-28,1.2748
2014-11-29,1.2745
2014-11-30,1.2783
2014-12-01,1.2711
2014-12-02,1.2825
2014-12-03,1.2904
2014-12-04,1.2851
2014-12-05,1.2961
2014-12-06,1.296
2014-12-07,1.3008
2014-12-08,1.3044
2014-12-09,1.3019
2014-12-10,1.2819
2014-12-11,1.2792
2014-12-12,1.2853
2014-12-13,1.2852
2014-12-14,1.2845
2014-12-15,1.291
2014-12-16,1.2846
2014-12-17,1.299
2014-12-18,1.2864
2014-12-19,1.2905
2014-12-20,1.2907
2014-12-21,1.2912
2014-12-22,1.2944
2014-12-23,1.2962
2014-12-24,1.2941
2014-12-25,1.2922
2014-12-26,1.288
2014-12-27,1.2881
2014-12-30,1.2769
2014-12-31,1.2822
2015-01-01,1.2821
2015-01-02,1.2971
2015-01-03,1.2979
2015-01-04,1.3027
2015-01-05,1.3006
2015-01-06,1.2899
2015-01-07,1.2852
2015-01-08,1.2805
2015-01-09,1.2751
2015-01-10,1.275
2015-01-11,1.2723
2015-01-12,1.2856
2015-01-13,1.2918
2015-01-14,1.2942
2015-01-15,1.2794
2015-01-16,1.2823
2015-01-17,1.2822
2015-01-18,1.2844
2015-01-19,1.2864
2015-01-20,1.3088
2015-01-21,1.3208
2015-01-22,1.3331
2015-01-23,1.3404
2015-01-24,1.3403
2015-01-25,1.3478
2015-01-26,1.3454
2015-01-27,1.3403
2015-01-28,1.3657
2015-01-29,1.3737
2015-01-30,1.3766
2015-01-31,1.3782
2015-02-01,1.3787
2015-02-02,1.3698
2015-02-03,1.3613
2015-02-04,1.3568
2015-02-05,1.3487
2015-02-06,1.3585
2015-02-07,1.3578
2015-02-08,1.3596
2015-02-09,1.351
2015-02-10,1.3506
2015-02-11,1.3557
2015-02-12,1.3471
2015-02-13,1.3408
2015-02-14,1.3407
2015-02-15,1.3365
2015-02-16,1.3344
2015-02-17,1.3267
2015-02-18,1.3251
2015-02-19,1.3288
2015-02-20,1.3284
2015-02-22,1.3283
2015-02-23,1.3285
2015-02-24,1.3353
2015-02-25,1.3203
2015-02-26,1.3287
2015-02-27,1.3216
2015-02-28,1.3214
2015-03-01,1.3232
2015-03-02,1.3319
2015-03-03,1.3237
2015-03-04,1.3178
2015-03-05,1.335
2015-03-06,1.3578
2015-03-07,1.3578
2015-03-08,1.3576
2015-03-09,1.3612
2015-03-10,1.3733
2015-03-11,1.3674
2015-03-12,1.352
2015-03-13,1.3624
2015-03-14,1.3624
2015-03-15,1.3635
2015-03-16,1.3552
2015-03-17,1.3676
2015-03-18,1.3367
2015-03-19,1.3469
2015-03-20,1.321
2015-03-21,1.321
2015-03-22,1.3195
2015-03-23,1.3028
2015-03-24,1.3094
2015-03-25,1.3164
2015-03-26,1.3173
2015-03-27,1.3209
2015-03-28,1.3209
2015-03-29,1.3232
2015-03-30,1.3334
2015-03-31,1.3394
2015-04-01,1.3424
2015-04-02,1.3316
2015-04-03,1.3165
2015-04-05,1.3146
2015-04-06,1.3255
2015-04-07,1.332
2015-04-08,1.3233
2015-04-09,1.3221
2015-04-10,1.3276
2015-04-12,1.3275
2015-04-13,1.3409
2015-04-14,1.3306
2015-04-15,1.3168
2015-04-16,1.3059
2015-04-17,1.301
2015-04-18,1.3009
2015-04-19,1.2993
2015-04-20,1.3049
2015-04-21,1.3042
2015-04-22,1.308
2015-04-23,1.3173
2015-04-24,1.3148
2015-04-26,1.3159
2015-04-27,1.3084
2015-04-28,1.2923
2015-04-29,1.3129
2015-04-30,1.3144
2015-05-01,1.3258
2015-05-03,1.3276
2015-05-04,1.326
2015-05-05,1.3335
2015-05-06,1.3344
2015-05-07,1.3428
2015-05-08,1.3347
2015-05-09,1.3344
2015-05-10,1.3466
2015-05-11,1.3621
2015-05-12,1.3539
2015-05-13,1.3262
2015-05-14,1.3339
2015-05-15,1.3375
2015-05-16,1.3373
2015-05-17,1.3422
2015-05-18,1.355
2015-05-19,1.3603
2015-05-20,1.3681
2015-05-21,1.3601
2015-05-22,1.3686
2015-05-24,1.3673
2015-05-25,1.3661
2015-05-26,1.3793
2015-05-27,1.3771
2015-05-28,1.3915
2015-05-29,1.4066
2015-05-31,1.4088
2015-06-01,1.4076
2015-06-02,1.3931
2015-06-03,1.3978
2015-06-04,1.4045
2015-06-05,1.4186
2015-06-07,1.418
2015-06-08,1.4014
2015-06-09,1.4003
2015-06-10,1.4166
2015-06-11,1.4248
2015-06-12,1.431
2015-06-14,1.4313
2015-06-15,1.4264
2015-06-16,1.4303
2015-06-17,1.4447
2015-06-18,1.4411
2015-06-19,1.4472
2015-06-21,1.4484
2015-06-22,1.4565
2015-06-23,1.4573
2015-06-24,1.4514
2015-06-25,1.4504
2015-06-26,1.4606
2015-06-27,1.4604
2015-06-28,1.4664
2015-06-29,1.4628
2015-06-30,1.4742
2015-07-01,1.4898
2015-07-02,1.4854
2015-07-03,1.4935
2015-07-04,1.4927
2015-07-05,1.4943
2015-07-06,1.4981
2015-07-07,1.4999
2015-07-08,1.4878
2015-07-09,1.4796
2015-07-10,1.4863
2015-07-12,1.4899
2015-07-13,1.496
2015-07-14,1.4898
2015-07-15,1.5207
2015-07-16,1.5338
2015-07-17,1.5327
2015-07-18,1.5325
2015-07-19,1.5318
2015-07-20,1.5204
2015-07-21,1.5083
2015-07-22,1.5053
2015-07-23,1.5111
2015-07-24,1.5203
2015-07-26,1.5196
2015-07-27,1.5133
2015-07-28,1.4872
2015-07-29,1.5014
2015-07-30,1.513
2015-07-31,1.5169
2015-08-02,1.5165
2015-08-03,1.5223
2015-08-04,1.53
2015-08-05,1.5335
2015-08-06,1.527
2015-08-07,1.5092
2015-08-09,1.5115
2015-08-10,1.5116
2015-08-11,1.5255
2015-08-12,1.5121
2015-08-13,1.5234
2015-08-14,1.5286
2015-08-16,1.528
2015-08-17,1.5208
2015-08-18,1.5179
2015-08-19,1.5167
2015-08-20,1.5094
2015-08-21,1.4955
2015-08-23,1.5047
2015-08-24,1.551
2015-08-25,1.5417
2015-08-26,1.55
2015-08-27,1.5432
2015-08-28,1.5467
2015-08-30,1.5503
2015-08-31,1.5725
2015-09-01,1.578
2015-09-02,1.5705
2015-09-03,1.5646
2015-09-04,1.5918
2015-09-06,1.5883
2015-09-07,1.5952
2015-09-08,1.5722
2015-09-09,1.5912
2015-09-10,1.5839
2015-09-11,1.5831
2015-09-13,1.5824
2015-09-14,1.5789
2015-09-15,1.5752
2015-09-16,1.5759
2015-09-17,1.5699
2015-09-18,1.5629
2015-09-19,1.563
2015-09-20,1.5625
2015-09-21,1.5807
2015-09-22,1.5902
2015-09-23,1.5944
2015-09-24,1.5772
2015-09-25,1.5655
2015-09-27,1.5677
2015-09-28,1.5828
2015-09-29,1.5734
2015-09-30,1.5645
2015-10-01,1.5605
2015-10-02,1.551
2015-10-04,1.5515
2015-10-05,1.5407
2015-10-06,1.5282
2015-10-07,1.5125
2015-10-08,1.5015
2015-10-09,1.4929
2015-10-11,1.4965
2015-10-12,1.4886
2015-10-13,1.5047
2015-10-14,1.4702
2015-10-15,1.4621
2015-10-16,1.4682
2015-10-18,1.4687
2015-10-19,1.4709
2015-10-20,1.4811
2015-10-21,1.4883
2015-10-22,1.4732
2015-10-23,1.4805
2015-10-25,1.4801
2015-10-26,1.4744
2015-10-27,1.4768
2015-10-28,1.4944
2015-10-29,1.4934
2015-10-30,1.475
2015-11-01,1.4783
2015-11-02,1.4823
2015-11-03,1.5017
2015-11-04,1.5166
2015-11-05,1.5121
2015-11-06,1.5318
2015-11-07,1.5323
2015-11-08,1.5327
2015-11-09,1.5306
2015-11-10,1.5292
2015-11-11,1.5228
2015-11-12,1.5278
2015-11-13,1.5283
2015-11-14,1.5269
2015-11-15,1.5295
2015-11-16,1.542
2015-11-17,1.5433
2015-11-18,1.5441
2015-11-19,1.5237
2015-11-20,1.5229
2015-11-21,1.5225
2015-11-22,1.5238
2015-11-23,1.5345
2015-11-24,1.5248
2015-11-25,1.5189
2015-11-26,1.5236
2015-11-27,1.5301
2015-11-28,1.5302
2015-11-29,1.5298
2015-11-30,1.5175
2015-12-01,1.499
2015-12-02,1.5052
2015-12-03,1.4988
2015-12-04,1.4817
2015-12-05,1.4816
2015-12-06,1.4859
2015-12-07,1.5056
2015-12-08,1.5022
2015-12-09,1.4834
2015-12-10,1.4835
2015-12-11,1.4883
2015-12-12,1.4872
2015-12-13,1.4897
2015-12-14,1.4783
2015-12-15,1.4757
2015-12-16,1.4782
2015-12-17,1.4947
2015-12-18,1.4858
2015-12-19,1.486
2015-12-20,1.4853
2015-12-21,1.4772
2015-12-22,1.468
2015-12-23,1.4721
2015-12-24,1.4677
2015-12-25,1.4616
2015-12-27,1.4616
2015-12-28,1.4588
2015-12-29,1.4561
2015-12-30,1.4621
2015-12-31,1.4619
2016-01-01,1.4619
2016-01-02,1.4598
2016-01-03,1.4634
2016-01-04,1.4809
2016-01-05,1.491
2016-01-06,1.5061
2016-01-07,1.5084
2016-01-08,1.5273
2016-01-09,1.5274
2016-01-10,1.5333
2016-01-11,1.5232
2016-01-12,1.5304
2016-01-13,1.5379
2016-01-14,1.5441
2016-01-15,1.5461
2016-01-16,1.5463
2016-01-17,1.553
2016-01-18,1.5489
2016-01-19,1.5627
2016-01-20,1.5533
2016-01-21,1.5323
2016-01-22,1.5394
2016-01-23,1.5396
2016-01-24,1.543
2016-01-25,1.549
2016-01-26,1.5399
2016-01-27,1.5539
2016-01-28,1.5431
2016-01-29,1.5417
2016-01-30,1.5422
2016-01-31,1.5471
2016-02-01,1.5289
2016-02-02,1.5327
2016-02-03,1.5017
2016-02-04,1.4891
2016-02-05,1.5087
2016-02-07,1.51
2016-02-08,1.5103
2016-02-09,1.5064
2016-02-10,1.4974
2016-02-11,1.4841
2016-02-12,1.5082
2016-02-13,1.5073
2016-02-14,1.5093
2016-02-15,1.5062
2016-02-16,1.5205
2016-02-17,1.5071
2016-02-18,1.5059
2016-02-19,1.5073
2016-02-20,1.5076
2016-02-21,1.5071
2016-02-22,1.4923
2016-02-23,1.5065
2016-02-24,1.5024
2016-02-25,1.4866
2016-02-26,1.5078
2016-02-27,1.5085
2016-02-28,1.5161
2016-02-29,1.5127
2016-03-01,1.5061
2016-03-02,1.4996
2016-03-03,1.4878
2016-03-04,1.4666
2016-03-05,1.4669
2016-03-06,1.4703
2016-03-07,1.4718
2016-03-08,1.4835
2016-03-09,1.5062
2016-03-10,1.4995
2016-03-11,1.4817
2016-03-13,1.4866
2016-03-14,1.4989
2016-03-15,1.5122
2016-03-16,1.4847
2016-03-17,1.4641
2016-03-18,1.4708
2016-03-20,1.4729
2016-03-21,1.4765
2016-03-22,1.4819
2016-03-23,1.4891
2016-03-24,1.4926
2016-03-25,1.4952
2016-03-27,1.4956
2016-03-28,1.4856
2016-03-29,1.4582
2016-03-30,1.4469
2016-03-31,1.4443
2016-04-01,1.4475
2016-04-03,1.4508
2016-04-04,1.4683
2016-04-05,1.4696
2016-04-06,1.4646
2016-04-07,1.4748
2016-04-08,1.4688
2016-04-10,1.4663
2016-04-11,1.4581
2016-04-12,1.4441
2016-04-13,1.4455
2016-04-14,1.4559
2016-04-15,1.446
2016-04-18,1.4374
2016-04-19,1.4192
2016-04-20,1.4331
2016-04-21,1.4458
2016-04-22,1.4588
2016-04-24,1.4561
2016-04-25,1.4569
2016-04-26,1.4493
2016-04-27,1.4435
2016-04-28,1.4365
2016-04-29,1.4321
2016-05-01,1.431
2016-05-02,1.421
2016-05-03,1.4413
2016-05-04,1.4518
2016-05-05,1.4524
2016-05-06,1.4618
2016-05-08,1.4615
2016-05-09,1.4761
2016-05-10,1.4735
2016-05-11,1.4665
2016-05-12,1.4644
2016-05-13,1.477
2016-05-15,1.4785
2016-05-16,1.4726
2016-05-17,1.47
2016-05-18,1.4809
2016-05-19,1.48
2016-05-20,1.4784
2016-05-22,1.4759
2016-05-23,1.4794
2016-05-24,1.4785
2016-05-25,1.4875
2016-05-26,1.4811
2016-05-27,1.4933
2016-05-29,1.4927
2016-05-30,1.4925
2016-05-31,1.4714
2016-06-01,1.4653
2016-06-02,1.4688
2016-06-03,1.4374
2016-06-05,1.4418
2016-06-06,1.4466
2016-06-07,1.4339
2016-06-08,1.4117
2016-06-09,1.4048
2016-06-10,1.4161
2016-06-12,1.4174
2016-06-13,1.4189
2016-06-14,1.4314
2016-06-15,1.4118
2016-06-16,1.4187
2016-06-17,1.4174
2016-06-19,1.4113
2016-06-20,1.407
2016-06-21,1.4028
2016-06-22,1.3932
2016-06-23,1.3842
2016-06-24,1.4027
2016-06-26,1.4081
2016-06-27,1.4261
2016-06-28,1.4169
2016-06-29,1.4051
2016-06-30,1.4009
2016-07-01,1.3941
2016-07-03,1.3921
2016-07-04,1.3838
2016-07-05,1.4013
2016-07-06,1.403
2016-07-07,1.3844
2016-07-08,1.3681
2016-07-10,1.3695
2016-07-11,1.3824
2016-07-12,1.3708
2016-07-13,1.3734
2016-07-14,1.3911
2016-07-15,1.4052
2016-07-17,1.4114
2016-07-18,1.4162
2016-07-19,1.4171
2016-07-20,1.4341
2016-07-21,1.4257
2016-07-22,1.4284
2016-07-24,1.4294
2016-07-25,1.4276
2016-07-26,1.4147
2016-07-27,1.4151
2016-07-28,1.4106
2016-07-29,1.3867
2016-07-31,1.389
2016-08-01,1.3947
2016-08-02,1.3839
2016-08-03,1.3981
2016-08-04,1.3939
2016-08-05,1.3991
2016-08-07,1.4049
2016-08-08,1.3994
2016-08-09,1.3944
2016-08-10,1.3738
2016-08-11,1.3866
2016-08-12,1.3891
2016-08-14,1.3891
2016-08-15,1.3842
2016-08-16,1.3704
2016-08-17,1.376
2016-08-18,1.3725
2016-08-19,1.3744
2016-08-21,1.3768
2016-08-22,1.3721
2016-08-23,1.3732
2016-08-24,1.366
2016-08-25,1.3693
2016-08-26,1.3807
2016-08-28,1.3831
2016-08-29,1.378
2016-08-30,1.3833
2016-08-31,1.3791
2016-09-01,1.3721
2016-09-02,1.3706
2016-09-04,1.3702
2016-09-05,1.3678
2016-09-06,1.3506
2016-09-07,1.3409
2016-09-08,1.3504
2016-09-09,1.366
2016-09-11,1.3655
2016-09-12,1.359
2016-09-13,1.3806
2016-09-14,1.3749
2016-09-15,1.3638
2016-09-16,1.3762
2016-09-18,1.3749
2016-09-19,1.3696
2016-09-20,1.3663
2016-09-21,1.3608
2016-09-22,1.3676
2016-09-23,1.3801
2016-09-25,1.3818
2016-09-26,1.3745
2016-09-27,1.3686
2016-09-28,1.3736
2016-09-29,1.3782
2016-09-30,1.3716
2016-10-02,1.3729
2016-10-03,1.3716
2016-10-04,1.3887
2016-10-05,1.3958
2016-10-06,1.3959
2016-10-07,1.394
2016-10-09,1.3942
2016-10-10,1.4006
2016-10-11,1.413
2016-10-12,1.4174
2016-10-13,1.4094
2016-10-14,1.4109
2016-10-16,1.4123
2016-10-17,1.3952
2016-10-18,1.389
2016-10-19,1.3812
2016-10-20,1.3902
2016-10-21,1.3957
2016-10-23,1.3973
2016-10-24,1.4052
2016-10-25,1.3952
2016-10-26,1.3977
2016-10-27,1.4043
2016-10-28,1.3954
2016-10-30,1.3967
2016-10-31,1.3981
2016-11-01,1.3865
2016-11-02,1.3719
2016-11-03,1.3636
2016-11-04,1.3641
2016-11-06,1.3645
2016-11-07,1.3608
2016-11-08,1.3576
2016-11-09,1.3709
2016-11-10,1.3853
2016-11-11,1.405
2016-11-13,1.4017
2016-11-14,1.4045
2016-11-15,1.4087
2016-11-16,1.4109
2016-11-17,1.4229
2016-11-18,1.426
2016-11-19,1.4246
2016-11-20,1.4278
2016-11-21,1.4137
2016-11-22,1.4154
2016-11-23,1.4263
2016-11-24,1.4268
2016-11-25,1.4195
2016-11-26,1.4193
2016-11-27,1.4188
2016-11-28,1.4118
2016-11-29,1.4018
2016-11-30,1.4105
2016-12-01,1.4105
2016-12-02,1.4003
2016-12-04,1.4083
2016-12-05,1.3999
2016-12-06,1.4041
2016-12-07,1.3929
2016-12-08,1.3938
2016-12-09,1.4009
2016-12-10,1.4012
2016-12-11,1.4036
2016-12-12,1.3886
2016-12-13,1.3883
2016-12-14,1.4063
2016-12-15,1.4196
2016-12-16,1.436
2016-12-18,1.4354
2016-12-19,1.4432
2016-12-20,1.4431
2016-12-21,1.4476
2016-12-22,1.4479
2016-12-23,1.453
2016-12-24,1.4528
2016-12-25,1.4535
2016-12-26,1.449
2016-12-27,1.4504
2016-12-28,1.4431
2016-12-29,1.4361
2016-12-30,1.4431
2017-01-01,1.4417
2017-01-02,1.4429
2017-01-03,1.4446
2017-01-04,1.4354
2017-01-05,1.4245
2017-01-06,1.4364
2017-01-07,1.4363
2017-01-08,1.4363
2017-01-09,1.4247
2017-01-10,1.4305
2017-01-11,1.4162
2017-01-12,1.4067
2017-01-13,1.4025
2017-01-14,1.4018
2017-01-15,1.4031
2017-01-16,1.4079
2017-01-17,1.3863
2017-01-18,1.4018
2017-01-19,1.3922
2017-01-20,1.3943
2017-01-21,1.3944
2017-01-22,1.3937
2017-01-23,1.3764
2017-01-24,1.3782
2017-01-25,1.3693
2017-01-26,1.3806
2017-01-27,1.3762
2017-01-29,1.3745
2017-01-30,1.3725
2017-01-31,1.3691
2017-02-01,1.3773
2017-02-02,1.3718
2017-02-03,1.3664
2017-02-04,1.3664
2017-02-05,1.3671
2017-02-06,1.3657
2017-02-07,1.3698
2017-02-08,1.3791
2017-02-09,1.3918
2017-02-10,1.3879
2017-02-11,1.3884
2017-02-12,1.3882
2017-02-13,1.393
2017-02-14,1.3941
2017-02-15,1.3846
2017-02-16,1.3855
2017-02-17,1.3919
2017-02-19,1.3908
2017-02-20,1.3914
2017-02-21,1.3965
2017-02-22,1.3912
2017-02-23,1.3826
2017-02-24,1.3884
2017-02-25,1.3876
2017-02-26,1.3884
2017-02-27,1.3907
2017-02-28,1.3917
2017-03-01,1.3985
2017-03-02,1.4157
2017-03-03,1.4186
2017-03-04,1.4196
2017-03-05,1.422
